species,subset,candidate_set,metric,model,targets,estimate,ci_low,ci_high
mouse,all,background,P_vs_U_concordance,ipin_baseline,50,0.754675,0.7048926011904763,0.802478361111111
mouse,all,background,P_vs_U_concordance,ipin_optimized,50,0.734232619047619,0.6828952321428572,0.7836845297619047
mouse,all,background,P_vs_U_concordance,tuna_retrained,50,0.7215316666666668,0.6603119484126985,0.7787618571428572
mouse,all,background,average_precision,ipin_baseline,50,0.21406289432683395,0.15706145873352123,0.2764800228220831
mouse,all,background,average_precision,ipin_optimized,50,0.19752421140474508,0.1427001499255763,0.25878476258099764
mouse,all,background,average_precision,tuna_retrained,50,0.20576139615659986,0.15648114897414542,0.26126046843809886
mouse,all,background,reciprocal_rank,ipin_baseline,50,0.2854465019712539,0.192255371985993,0.3856198645747158
mouse,all,background,reciprocal_rank,ipin_optimized,50,0.2705191586563117,0.1849553490799452,0.3642710518309071
mouse,all,background,reciprocal_rank,tuna_retrained,50,0.28146811353016005,0.19612580184073156,0.37877205158500943
mouse,all,background,recall_at_10,ipin_baseline,50,0.30852380952380953,0.21737976190476188,0.4059047619047619
mouse,all,background,recall_at_10,ipin_optimized,50,0.3003015873015873,0.2074420634920635,0.3974948412698412
mouse,all,background,recall_at_10,tuna_retrained,50,0.3775873015873015,0.27980873015873015,0.47685793650793645
mouse,all,background,NDCG_at_10,ipin_baseline,50,0.22469731371203416,0.14993289766466333,0.30444777866340483
mouse,all,background,NDCG_at_10,ipin_optimized,50,0.2118034061421201,0.14116696134539097,0.28939867946991726
mouse,all,background,NDCG_at_10,tuna_retrained,50,0.24707661546690413,0.17920818175524314,0.3201416442676297
mouse,all,matched,P_vs_U_concordance,ipin_baseline,50,0.7264310317460319,0.6760265654761906,0.7753414166666669
mouse,all,matched,P_vs_U_concordance,ipin_optimized,50,0.7176852380952381,0.6647909880952382,0.7682211071428572
mouse,all,matched,P_vs_U_concordance,tuna_retrained,50,0.7141492063492063,0.6547385357142856,0.7700278412698413
mouse,all,matched,average_precision,ipin_baseline,50,0.18729827565259669,0.1333869549706205,0.2509070725722754
mouse,all,matched,average_precision,ipin_optimized,50,0.1673136326369377,0.11780493575704334,0.22799085079114428
mouse,all,matched,average_precision,tuna_retrained,50,0.19950045508981723,0.1477397721728132,0.257963645404536
mouse,all,matched,reciprocal_rank,ipin_baseline,50,0.25410987934822277,0.16991602431551323,0.34951324078614676
mouse,all,matched,reciprocal_rank,ipin_optimized,50,0.20277351390118725,0.13860397196094956,0.2751456143641912
mouse,all,matched,reciprocal_rank,tuna_retrained,50,0.27048689532572556,0.18527542238742767,0.36402620097457444
mouse,all,matched,recall_at_10,ipin_baseline,50,0.259,0.1738047619047619,0.3497154761904762
mouse,all,matched,recall_at_10,ipin_optimized,50,0.2719206349206349,0.17685476190476193,0.37585952380952375
mouse,all,matched,recall_at_10,tuna_retrained,50,0.32090476190476197,0.22418571428571427,0.4216714285714285
mouse,all,matched,NDCG_at_10,ipin_baseline,50,0.19004535788813237,0.12048981706993657,0.2679516432165289
mouse,all,matched,NDCG_at_10,ipin_optimized,50,0.175164992886221,0.111186550048481,0.24761297853893346
mouse,all,matched,NDCG_at_10,tuna_retrained,50,0.22027358108222145,0.14962382468586574,0.2966978390492057
mouse,all,all_U,P_vs_U_concordance,ipin_baseline,50,0.740553015873016,0.6906160634920634,0.7881517916666666
mouse,all,all_U,P_vs_U_concordance,ipin_optimized,50,0.7259589285714284,0.6760660863095239,0.7741314880952381
mouse,all,all_U,P_vs_U_concordance,tuna_retrained,50,0.7178404365079366,0.659642425595238,0.7730214265873016
mouse,all,all_U,average_precision,ipin_baseline,50,0.13871015914868903,0.09021231739186868,0.19427410189173042
mouse,all,all_U,average_precision,ipin_optimized,50,0.11421063129672168,0.07372361279720582,0.16375435729548252
mouse,all,all_U,average_precision,tuna_retrained,50,0.13061690680271754,0.08961063581424605,0.1788612227335126
mouse,all,all_U,reciprocal_rank,ipin_baseline,50,0.20712118396695436,0.12166366306321881,0.30210030457536724
mouse,all,all_U,reciprocal_rank,ipin_optimized,50,0.15664087340817076,0.09496744226520494,0.22664548268177429
mouse,all,all_U,reciprocal_rank,tuna_retrained,50,0.19313727993389532,0.11878539858403343,0.27871329584388665
mouse,all,all_U,recall_at_10,ipin_baseline,50,0.1682857142857143,0.09923809523809524,0.24466904761904756
mouse,all,all_U,recall_at_10,ipin_optimized,50,0.19114285714285714,0.11352380952380951,0.27780952380952384
mouse,all,all_U,recall_at_10,tuna_retrained,50,0.1963809523809524,0.12266666666666666,0.2793333333333333
mouse,all,all_U,NDCG_at_10,ipin_baseline,50,0.1369141809012115,0.07506047195210541,0.20532737751450916
mouse,all,all_U,NDCG_at_10,ipin_optimized,50,0.12139910917158671,0.06784080734374076,0.1834197371945112
mouse,all,all_U,NDCG_at_10,tuna_retrained,50,0.13712333529016144,0.08284484725327795,0.19754993595753786
mouse,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,ipin_baseline,47,0.7521601808811984,0.7006870254744267,0.8025470223662622
mouse,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,ipin_optimized,47,0.7307745385803001,0.6761748483857607,0.7824281338444927
mouse,no_exact_TRAIN_DEV_endpoint,background,P_vs_U_concordance,tuna_retrained,47,0.7219466620497536,0.6567657738457309,0.7829027909334905
mouse,no_exact_TRAIN_DEV_endpoint,background,average_precision,ipin_baseline,47,0.210437752629296,0.1468283069674927,0.2854984363931429
mouse,no_exact_TRAIN_DEV_endpoint,background,average_precision,ipin_optimized,47,0.18575576738863203,0.13105769024407388,0.24843104304579422
mouse,no_exact_TRAIN_DEV_endpoint,background,average_precision,tuna_retrained,47,0.2048007303917639,0.15144641718223026,0.26531556328222977
mouse,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,ipin_baseline,47,0.2590974385335164,0.17014927420610415,0.3556835929882758
mouse,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,ipin_optimized,47,0.2580508578808845,0.17380097293467212,0.35259712149331573
mouse,no_exact_TRAIN_DEV_endpoint,background,reciprocal_rank,tuna_retrained,47,0.2746984773039179,0.1883979938541763,0.37130082247770524
mouse,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,ipin_baseline,47,0.3041033434650456,0.2048087639311043,0.410943515704154
mouse,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,ipin_optimized,47,0.2785714285714285,0.18191236068895641,0.3801431104356636
mouse,no_exact_TRAIN_DEV_endpoint,background,recall_at_10,tuna_retrained,47,0.39790611279972976,0.2970246538331645,0.5029052684903749
mouse,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,ipin_baseline,47,0.21595244202099406,0.1365262323157408,0.3028099725611007
mouse,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,ipin_optimized,47,0.19526793886401028,0.12479950481348492,0.2730100154837136
mouse,no_exact_TRAIN_DEV_endpoint,background,NDCG_at_10,tuna_retrained,47,0.25127067863045477,0.18174161387546395,0.32488980729941663
