cohort,aggregation,model,metric,estimate,ci_low,ci_high,targets,panels,P,U
all,equal_positive,ipin_baseline,P_vs_U_concordance,0.7518713826366559,0.7292959456039718,0.7741558749696661,545,1555,1555,155500
all,equal_positive,ipin_optimized,P_vs_U_concordance,0.7975241157556271,0.7724293843443412,0.8215388383484956,545,1555,1555,155500
all,equal_positive,tuna_retrained,P_vs_U_concordance,0.8162508038585209,0.7886433538858617,0.8425916573185425,545,1555,1555,155500
all,equal_yeast_target,ipin_baseline,P_vs_U_concordance,0.7720822397787842,0.7541344763376642,0.7893857452894599,545,1555,1555,155500
all,equal_yeast_target,ipin_optimized,P_vs_U_concordance,0.8176140143842664,0.8004300234469136,0.8342118587097538,545,1555,1555,155500
all,equal_yeast_target,tuna_retrained,P_vs_U_concordance,0.8468184056356802,0.8309237044382496,0.8623742998579326,545,1555,1555,155500
all,equal_positive,ipin_baseline,average_precision,0.16367241726596674,0.14682298035921168,0.18252259551383176,545,1555,1555,155500
all,equal_positive,ipin_optimized,average_precision,0.2416071854571907,0.2134926134327839,0.2730919945931752,545,1555,1555,155500
all,equal_positive,tuna_retrained,average_precision,0.28833758596599235,0.25885957155012146,0.32099178595111266,545,1555,1555,155500
all,equal_yeast_target,ipin_baseline,average_precision,0.1781977669790525,0.15969872552954426,0.19721759157426128,545,1555,1555,155500
all,equal_yeast_target,ipin_optimized,average_precision,0.2792562558211146,0.2542446379927819,0.30498459326194244,545,1555,1555,155500
all,equal_yeast_target,tuna_retrained,average_precision,0.3466234512979996,0.31874838234119973,0.3752509472907434,545,1555,1555,155500
all,equal_positive,ipin_baseline,reciprocal_rank,0.16367241726596674,0.14682298035921168,0.18252259551383176,545,1555,1555,155500
all,equal_positive,ipin_optimized,reciprocal_rank,0.2416071854571907,0.2134926134327839,0.2730919945931752,545,1555,1555,155500
all,equal_positive,tuna_retrained,reciprocal_rank,0.28833758596599235,0.25885957155012146,0.32099178595111266,545,1555,1555,155500
all,equal_yeast_target,ipin_baseline,reciprocal_rank,0.1781977669790525,0.15969872552954426,0.19721759157426128,545,1555,1555,155500
all,equal_yeast_target,ipin_optimized,reciprocal_rank,0.2792562558211146,0.2542446379927819,0.30498459326194244,545,1555,1555,155500
all,equal_yeast_target,tuna_retrained,reciprocal_rank,0.3466234512979996,0.31874838234119973,0.3752509472907434,545,1555,1555,155500
